line_id,order_id,order_date,month,customer_id,region,segment,channel,product,category,quantity,discount_pct,returned,gross_sales_cents,discount_cents,cogs_cents,net_revenue_cents,profit_cents
203,99,2025-04-25,2025-04,115,East,Business,Online,Desk,Furniture,3,5,0,84000,4200,57000,79800,22800
204,100,2025-07-15,2025-07,187,Central,Business,Store,Monitor,Technology,2,5,0,48000,2400,32000,45600,13600
205,101,2024-09-01,2024-09,108,South,Business,Store,Desk,Furniture,4,0,0,112000,0,76000,112000,36000
206,102,2025-08-11,2025-08,62,Central,Business,Online,Keyboard,Technology,5,5,0,32500,1625,16000,30875,14875
207,102,2025-08-11,2025-08,62,Central,Business,Online,Desk,Furniture,4,0,0,112000,0,76000,112000,36000
208,103,2024-03-28,2024-03,135,South,Business,Store,Notebook pack,Office Supplies,5,15,0,9000,1350,3500,7650,4150
209,104,2025-06-03,2025-06,142,West,Business,Online,Keyboard,Technology,4,5,0,26000,1300,12800,24700,11900
210,104,2025-06-03,2025-06,142,West,Business,Online,Desk,Furniture,1,15,0,28000,4200,19000,23800,4800
211,105,2024-12-19,2024-12,62,Central,Business,Online,Storage box,Office Supplies,1,5,0,2600,130,1200,2470,1270
212,105,2024-12-19,2024-12,62,Central,Business,Online,Monitor,Technology,2,10,0,48000,4800,32000,43200,11200
213,105,2024-12-19,2024-12,62,Central,Business,Online,Chair,Furniture,4,0,0,68000,0,44000,68000,24000
214,106,2024-03-05,2024-03,184,South,Consumer,Store,Monitor,Technology,2,0,0,48000,0,32000,48000,16000
215,107,2024-02-12,2024-02,81,East,Consumer,Store,Keyboard,Technology,3,0,0,19500,0,9600,19500,9900
216,107,2024-02-12,2024-02,81,East,Consumer,Store,Notebook pack,Office Supplies,2,5,0,3600,180,1400,3420,2020
217,107,2024-02-12,2024-02,81,East,Consumer,Store,Storage box,Office Supplies,1,5,0,2600,130,1200,2470,1270
218,108,2025-01-11,2025-01,112,Central,Consumer,Store,Keyboard,Technology,2,10,0,13000,1300,6400,11700,5300
219,108,2025-01-11,2025-01,112,Central,Consumer,Store,Storage box,Office Supplies,3,15,0,7800,1170,3600,6630,3030
220,108,2025-01-11,2025-01,112,Central,Consumer,Store,Monitor,Technology,1,10,0,24000,2400,16000,21600,5600
221,109,2025-09-08,2025-09,47,East,Consumer,Store,Desk,Furniture,3,10,0,84000,8400,57000,75600,18600
222,109,2025-09-08,2025-09,47,East,Consumer,Store,Storage box,Office Supplies,5,10,0,13000,1300,6000,11700,5700
223,110,2025-03-30,2025-03,90,South,Business,Store,Storage box,Office Supplies,3,15,0,7800,1170,3600,6630,3030
224,111,2024-10-08,2024-10,164,West,Business,Online,Storage box,Office Supplies,4,5,0,10400,520,4800,9880,5080
225,112,2025-11-26,2025-11,41,South,Consumer,Online,Notebook pack,Office Supplies,4,0,0,7200,0,2800,7200,4400
226,113,2024-08-29,2024-08,200,South,Consumer,Store,Keyboard,Technology,1,15,0,6500,975,3200,5525,2325
227,113,2024-08-29,2024-08,200,South,Consumer,Store,Notebook pack,Office Supplies,4,5,0,7200,360,2800,6840,4040
228,114,2024-03-19,2024-03,147,Central,Consumer,Online,Monitor,Technology,3,0,0,72000,0,48000,72000,24000
229,114,2024-03-19,2024-03,147,Central,Consumer,Online,Keyboard,Technology,1,0,0,6500,0,3200,6500,3300
230,114,2024-03-19,2024-03,147,Central,Consumer,Online,Storage box,Office Supplies,4,15,0,10400,1560,4800,8840,4040
231,115,2024-09-23,2024-09,181,South,Consumer,Store,Notebook pack,Office Supplies,3,10,0,5400,540,2100,4860,2760
232,116,2024-05-18,2024-05,19,South,Consumer,Store,Storage box,Office Supplies,4,0,0,10400,0,4800,10400,5600
233,117,2024-11-23,2024-11,171,East,Consumer,Store,Desk,Furniture,3,0,0,84000,0,57000,84000,27000
234,117,2024-11-23,2024-11,171,East,Consumer,Store,Notebook pack,Office Supplies,2,5,0,3600,180,1400,3420,2020
235,117,2024-11-23,2024-11,171,East,Consumer,Store,Monitor,Technology,1,0,0,24000,0,16000,24000,8000
236,118,2024-08-30,2024-08,127,South,Business,Online,Notebook pack,Office Supplies,3,10,0,5400,540,2100,4860,2760
237,118,2024-08-30,2024-08,127,South,Business,Online,Storage box,Office Supplies,5,0,0,13000,0,6000,13000,7000
238,119,2024-03-29,2024-03,17,Central,Business,Store,Storage box,Office Supplies,5,10,0,13000,1300,6000,11700,5700
